MAU;RUA OLIMPICO -  94 - JARDIM AURORA - IGUATEMI;PR;M.PR.MAU;MARINGÁ - JARDIM AURORA;;;
MTA;RUA NEO ALVES MARTINS 833 -  IGUATEMI;PR;M.PR.MTA;MARINGÁ - TOMÁS DE AQUINO;;;
MJO;AVENIDA JOSÉ ALVES NENDO - 429;PR;M.PR.MJO;MARINGÁ - JARDIM PARAÍSO;;;
MUG;ROD. 317 KM 5 - MARINGÁ - MARINGÁ;PR;M.PR.MUG;MARINGÁ - UNINGÁ;;;
MPQ;AVENIDA DAS INDUSTRIAS 562 - MARINGÁ;PR;M.PR.MPQ;MARINGÁ - PARQUE INDUSTRIAL II;;;
MYR;AV TAQUARI - Nº S/N - MIRADOR;PR;M.PR.MYR;MIRADOR CIDADE;;;
MSL;RUA IRENE MARQUES - 628;PR;M.PR.MSL;Moreira Sales;;;
NIV;R. OLÍVIO MANOEL SANTOS N - S/N - NOVA ALIANÇA DO IVAÍ;PR;M.PR.NIV;NOVA ALIANÇA DO IVAÍ;;;
NVU;RUA CRUZEIRO DO SUL - 45;PR;M.PR.NVU;Nova Cantu;;;
NEA;RUA BENTO MUNHOZ DA ROCHA NETO -  AO LADO DO 378;PR;M.PR.NEA;Nova Esperança;;;
NLD;RUA APUCARANA -  S/N;PR;M.PR.NLD;Nova Londrina;;;
NLM;GLEBA NONOHAI - Nº 47 C1 - NOVA OLÍMPIA;PR;M.PR.NLM;NOVA OLÍMPIA CIDADE;;;
PNU;RUA RUI BARBOSA -  DATA 5;PR;M.PR.PNU;Paiçandu Jardim Brasília;;;
PN2;RUA VITORIO ZANIN -  S/ N°;PR;M.PR.PN2;PAIÇANDU - PR323;;;
POT;RUA 25 DE DEZEMBRO X RUA 25 DE JULHO - PALOTINA;PR;M.PR.POT;Palotina;;;
PMS;RUA MASCARENHAS DE MORAES -  S/N;PR;M.PR.PMS;PALOTINA - MORADA DO SOL;;;
PIO;RUA SEVERINA CÂNDIDA -  LOTE 9 A QUADRA 67;PR;M.PR.PIO;Paraíso do Norte;;;
PIY;RODOVIA PR-750 -  LOTE 268-B;PR;M.PR.PIY;Paranacity;;;
PPX;R CÔNEGO ILDEFONSO FERREIRA - Nº S/N - PARANAPOEMA;PR;M.PR.PPX;PARANAPOEMA CIDADE;;;
PPG;RUA LÁZARO FIGUEIREDO VIEIRA - Nº 805  - PARANAVAÍ;PR;M.PR.PPG;PARANAVAÍ JARDIM PROGRESSO;;;
PVI;AV. JOÃO SALVADOR VERAS - Nº 56 - PARANAVAÍ;PR;M.PR.PVI;PARANAVAÍ INDUSTRIAL;;;
PEV;Rua Rio Grande do Sul - Nº 3030 - PARANAVAÍ;PR;M.PR.PEV;PARANAVAÍ ESTRADA VELHA;;;
PLK;AV Martin Luther King - Nº 3515 - PARANAVAÍ;PR;M.PR.PLK;PARANAVAÍ - LUTHER KING;;;
PVG;RUA ANTENOR GRIGORI X JOÃO NASCIMENTO TULHA - PARANAVAÍ;PR;M.PR.PVG;PARANAVAÍ - ANTENOR GRIGORI;;;
PVJ;AVENIDA ROOSVELT -  LOTE 22;PR;M.PR.PVJ;Paranavaí São Jorge SJ;;;
ZPV;Sumare Tamboara (LOTE 215A - GLEBA ANHUMAÍ) - PARANAVAÍ;PR;M.PR.ZPV;Paranavaí REP;;;
PZI;RUA JOSÉ GREGÓRIO SOBRINHO -  S/N - QUADRA 22;PR;M.PR.PZI;PARANAVAÍ - ZONA 5;NÃO;;
PBR;RUA CURITIBA -  795 DATA 1432 QUADRA 79;PR;M.PR.PBR;Peabiru;;;
PRA;RUA OLAVO BILAC - 1290;PR;M.PR.PRA;Pérola;;;
PLD;AV ALAGOAS -  LOTE 17;PR;M.PR.PLD;PLANALTINA DO PARANÁ CIDADE;X;;
PRY;Estrada Porto São José -  Km 1 s/n;PR;M.PR.PRY;PORTO RICO CIDADE;;;
QNE;AV PORTO ALEGRE - 337;PR;M.PR.QNE;Querência do Norte;;;
ROO;RUA RIO DE JANEIRO - 886;PR;M.PR.ROO;Roncador;;;
RDN;RUA ROMA - 78;PR;M.PR.RDN;Rondon;;;
SZO;Rua Canadá -  s/nº;PR;M.PR.SZO;Santa Cruz de Monte Castelo Cidade;;;
STF;RUA APUCARANA - 491;PR;M.PR.STF;Santa Fé;;;
SNV;RUA EPITÁSSIO PESSOA -  S/N;PR;M.PR.SNV;Santa Isabel do Ivaí;;;
SWQ;R PEROBA - N° S/N - SANTA MÔNICA;PR;M.PR.SWQ;SANTA MÔNICA;;;
SIO;ESTRADA DO MATADOURO - Nº S/N - SANTO ANTÔNIO DO CAIUÁ;PR;M.PR.SIO;SANTO ANTÔNIO DO CAIUÁ CIDADE;;;
SLZ;RUA SOUZA NAVES -  S/N;PR;M.PR.SLZ;São Jorge do Patrocínio;;;
SWF;ESTRADA SÃO MANOEL -  SAÍDA PARA INDIANÁPOLIS;PR;M.PR.SWF;SÃO MANOEL DO PARANÁ CIDADE;SIM;;
SXD;Av. Santa Catarina -  s/nº;PR;M.PR.SXD;São Pedro do Paraná;;;
STX;ESTRADA BORTOLOCI -  LOTE 169 S/Nº;PR;M.PR.STX;São Tomé Cidade;;;
SWW;RUA JOSÉ BONIFÁCIO - 1752;PR;M.PR.SWW;Sarandi Jardim Independência;;;
MNP;AVENIDA JOÃO GOMES REDONDO - 67;PR;M.PR.MNP;SARANDI - PARQUE ALVAMAR;;;
SST;RUA CURITIBA N° 167 - SARANDI;PR;M.PR.SST;SARANDI - SANTA TEREZA;;;
SJO;AV. CUIABA - 81;PR;M.PR.SJO;SARANDI - JARDIM ORIENTAL;;;
SR3;RUA NESTOR DA SILVA RIBEIRO -  147 - SARANDI;PR;M.PR.SR3;SARANDI - JARDIM INDEPENDENCIA III;;;
TBA;Estrada da Farinheira - Chácara São José - TAMBOARA;PR;M.PR.TBA;TAMBOARA;;;
TJR;AVENIDA TANCREDO DE ALMEIDA NEVES 353 - TAPEJARA;PR;M.PR.TJR;TAPEJARA - CENTRO;;;
TIR;R PIRAQUARA - Nº 525 - TAPIRA;PR;M.PR.TIR;TAPIRA CIDADE;;;
TEO;RUA RUBEN CARLOS PEREIRA -  S/N;PR;M.PR.TEO;Terra Boa;;;
TRA;AVENIDA JAMES P CLARK -  AO LADO DO SAMAE;PR;M.PR.TRA;Terra Rica;;;
TRX;RUA JOSÉ VALADÃO -  EM FRENTE AO 516;PR;M.PR.TRX;Terra Roxa BTS e Repetidora;;;
TNO;RODOV. PR 479 (RODOV. LUIZ VITORINO MARQUES) - Nº S/N - TUNEIRAS DO OESTE;PR;M.PR.TNO;Tuneiras do Oeste;;;
ZUB;DATA DE TERRAS 09 - QD 10 - UBIRATÃ;PR;M.PR.ZUB;Ubiratã Rep;;;
UM3;AVENIDA SÃO PAULO -  DATA 5 QUADRA 40;PR;M.PR.UM3;Umuarama C - Tiradentes;;;
UM2;RUA IVAITINGA -  S/N;PR;M.PR.UM2;Umuarama B - ZONA VII;;;
UMT;RUA 13 DE MAIO - 6598;PR;M.PR.UMT;Umuarama 13 de Maio;;;
UPR;Amaro Antônio Almeida -  Parque Irani - Nº S/N;PR;M.PR.UPR;UMUARAMA - PR 489;;;
UM1;AVENIDA PRESIDENTE CASTELO BRANCO -  DATA 9 QUADRA 7;PR;M.PR.UM1;Umuarama A - Castelo Branco;;;
USP;ESTR. BONFIM -  207-217;PR;M.PR.USP;UMUARAMA SHOPPING PALLADIUM;;;
UPI;RUA PROJETADA C -  S/N;PR;M.PR.UPI;UMUARAMA - PARQUE INDUSTRIAL;295;NÃO;
UPE;RUA FRANÇA S/N PARQUE BONFIM - Parque Bonfim - UMUARAMA;PR;M.PR.UPE;UMUARAMA - PARQUE DE EXPOSIÇÕES;;;
ZBV;RUA TUPINIQUIM 90 - BOA VISTA DA APARECIDA;PR;M.PR.ZBV;Boa Vista da Aparecida Rep;;;
BGY;RUA BRASÍLIA -  S/N;PR;M.PR.BGY;Braganey;;;
CFW;RUA PADRE LUÍS LUISE -  S/N;PR;M.PR.CFW;Cafelândia;;;
CQS;LOTE 18 QUADRA 20 - CAPITÃO LEÔNIDAS MARQUES;PR;M.PR.CQS;Capitão Leônidas Marques;;;
CSC;Rua Pará -  988 - Country esq RUA SIQUEIRA CAMPOS;PR;M.PR.CSC;CCC Cascavel;X;;
CCP;BR 277 -  km 577;PR;M.PR.CCP;CASCAVEL COOPAVEL;;;
CAP;RUA DAS DÁLIAS - 164;PR;M.PR.CAP;Cascavel Aeroporto;;;
CAU;RODOVIA BR 277 - 9584;PR;M.PR.CAU;Cascavel Autódromo;;;
CBZ;Rua Buriti -  S/N - Tocantins 2;PR;M.PR.CBZ;CASCAVEL - BRAZMADEIRA;;;
CCE;RUA RIO GRANDE DO SUL - 1034;PR;M.PR.CCE;Cascavel Centro;;;
CFA;R BEM-TE-VI - Nº 1045 - CASCAVEL;PR;M.PR.CFA;CASCAVEL FLORESTA;;;
CMZ;RUA DELFINO DIAS DO PRADO - 361;PR;M.PR.CMZ;Cascavel Jardim Maria Luiza;;;
CPL;Rua Romeu Carponi - 214;PR;M.PR.CPL;CASCAVEL - PERIOLO;;;
CPS;RUA CAIOBÁ - 3214;PR;M.PR.CPS;Cascavel Parque São Paulo;X;;
CSR;R BARAWANAS -  AO LADO DO 736 - Nº S/N;PR;M.PR.CSR;CASCAVEL SANTA CRUZ;;;
CCR;RUA FORTUNATO BEBER - 611;PR;M.PR.CCR;Cascavel São Cristóvão;X;;
SEV;RODOVIA BR 467 -  KM 87;PR;M.PR.SEV;Cascavel Sede Alvorada;;;
CC2;AVENIDA PARANÁ -  LOTE 03 QUADRA 41;PR;M.PR.CC2;Cascavel Centro 2;;;
CCA;RUA MARECHAL DEODORO - 3025;PR;M.PR.CCA;Cascavel Ed. Avenida;;;
CRT;RUA FAGUNDES VARELA - CASCAVEL;PR;M.PR.CRT;CASCAVEL - RECANTO TROPICAL;;;
CAA;RUA INDIRA GANDHI - 532;PR;M.PR.CAA;CASCAVEL - ALTO ALEGRE;;;
CCN;RUA LAGOA VERMELHA -  S/N;PR;M.PR.CCN;CASCAVEL - CANADÁ;;;
CCT;AV. JACAREZINHO - 942;PR;M.PR.CCT;CASCAVEL - CATUAÍ;;;
CSM;AVENIDA TOLEDO - 432;PR;M.PR.CSM;CASCAVEL - JL SHOPPING;;;
CCL;RUA CLARA NUNES -  N°. 1250;PR;M.PR.CCL;CASCAVEL - BRASÍLIA;NÃO;;
CVE;AVENIDA COMIL - 1110;PR;M.PR.CVE;CASCAVEL VELHO;;;
CSF;RUA SARGENTO JOSÉ BERNARDO ROSA - 404;PR;M.PR.CSF;CASCAVEL - SANTA FELICIDADE;627;NÃO;
CIN;RUA SERGIO GASPARETO -  N° 383- QUADRA 02;PR;M.PR.CIN;CASCAVEL - CONDOMÍNIO INDUSTRIAL;;;
CNB;RUA APARECIDA DOS PORTOS QUADRA 17 LOTE 14 - CASCAVEL - CASCAVEL;PR;M.PR.CNB;CASCAVEL - 14 DE NOVEMBRO;;;
CFE;ESTRADA COLONIA DA ESPERANÇA -  S/Nº;PR;M.PR.CFE;CAFEARA - CIDADE;;;
CSN;AV. DAS TORRES - 523;PR;M.PR.CSN;CASCAVEL - SANTO INACIO;;;
CLZ;RUA CUIABA 448 - CASCAVEL;PR;M.PR.CLZ;CASCAVEL - MARIA LUIZA 2;;;
CVO; - CASCAVEL;PR;M.PR.CVO;CASCAVEL - UNIVERSITÁRIO;;;
CC3; - CASCAVEL;PR;M.PR.CC3;CASCAVEL - CENTRO 3;;;
C2P;RUA SOUZA NAVES -  S/N - LOTE 4 - QD 44B;PR;M.PR.C2P;CASCAVEL - PARQUE SÃO PAULO 2;;;
CUC;RUA PROF. ADAUTO - 415;PR;M.PR.CUC;CATANDUVAS - CENTRO;;;
CAZ;RUA FLORIANÓPOLIS -  S/N;PR;M.PR.CAZ;Céu Azul;;;
ZFF;BR 277 - KM 653 - CÉU AZUL;PR;M.PR.ZFF;Francisco Franco REP;;;
CBL;RUA JOÃO JASMIN -  S/N;PR;M.PR.CBL;Corbélia;;;
CPN;RODOV. BR 369 -  KM 487 - Nº S/N;PR;M.PR.CPN;BR369 CORBÉLIA PENHA;;;
CBI;Rua Guardenia - 21;PR;M.PR.CBI;Corbélia Rep;;;
ERO;RUA PARANÁ -  S/N;PR;M.PR.ERO;Entre Rios do Oeste;;;
FAI;RODOVIA BR 469 -  KM 16;PR;M.PR.FAI;Foz Aeroporto (Indoor);;;
FCT;AVENIDA DAS CATARATAS -  KM 28;PR;M.PR.FCT;Foz Cataratas;;;
FJP;Rua Bartolomeu de Gusmão - 1980;PR;M.PR.FJP;Foz Jardim Panorama;;;
FSH;AV COSTA E SILVA - N° 185 - FOZ DO IGUAÇU;PR;M.PR.FSH;Foz Shopping JL;;;
FTN;Rua Graúna - Nº 70 (ESQ. Av Tancredo Neves) - FOZ DO IGUAÇU;PR;M.PR.FTN;FOZ TANCREDO NEVES;;;
FUS;R HORACIO INOCENCIO AGUIAR -  FRT167 - Nº S/N;PR;M.PR.FUS;Foz Itaipu Barragem;;;
FAP;RODOVIA BR 469 -  KM 16;PR;M.PR.FAP;Foz Aeroporto;;;
FBR;Av. Doutor Luiz Passos - Nº 1081 - FOZ DO IGUAÇU;PR;M.PR.FBR;FOZ DO IGUAÇU - PARQUE TRÊS BANDEIRAS;;;
FC3;AVENIDA MARECHAL DEODORO -  S/N;PR;M.PR.FC3;"Foz do Iguaçu ""Centro 3""";;;
FCB;RUA ITAPEMA -  S/N;PR;M.PR.FCB;Foz Jardim Copacabana;;;
FCC;ROD DAS CATARATAS -  ACESSO AO AEROPORTO - N° 13;PR;M.PR.FCC;Foz Centro de Convençoes;;;
FGC;ESTRADA DAS CATARATAS -  S/N;PR;M.PR.FGC;Foz Golf Clube;;;
FHM;AV DAS CATARATAS -  KM 32 S/N;PR;M.PR.FHM;FOZ HOTEL MABU;;;
FIA;AVENIDA ANHEMBI X RUA JEQUIE - FOZ DO IGUAÇU;PR;M.PR.FIA;Foz Itaipu Vila A ;;;
FIC;R MANAUS - Nº 47 - FOZ DO IGUAÇU;PR;M.PR.FIC;FOZ DO IGUAÇU VILA C;;;
FIM;Avenida Imigrantes -  S/N (Qd.6;PR;M.PR.FIM;FOZ DO IGUAÇU - IMIGRANTES;NÃO;;
FJE;RUA LIMA -  S/N;PR;M.PR.FJE;FOZ JARDIM ALICE;;;
FJM;RUA AIRTON MOREIRA -  S/N° (ESQ. R. HELENO DE FREITAS);PR;M.PR.FJM;"Foz do Iguaçu ""Jardim Morumbi""";;;
FJN;AVENIDA JOSÉ MARIA DE BRITO - 175;PR;M.PR.FJN;Foz Av.Paraná;;;
FPO;Rua João Benitez -  frente ao nº 80;PR;M.PR.FPO;FOZ PORTO BELO;;;
FTL;SATURNINO ROLON -  AO LADO DO 273;PR;M.PR.FTL;Tres Lagoas;;;
FUN;AVENIDA TANCREDO NEVES - 6731;PR;M.PR.FUN;Itaipu;;;
FPN;AVENIDA JOSÉ MARIA DE BRITO - 315;PR;M.PR.FPN;Ponte Nova;X;;
FTF;RUA MIOSÓTIS S/N - FOZ DO IGUAÇU;PR;M.PR.FTF;Foz Tres Fronteiras;;;
FC1;RUA XAVIER DA SILVA X AVENIDA BRASIL - FOZ DO IGUAÇU;PR;M.PR.FC1;Foz do Iguaçu - Centro 1;;;
FRA;AVENIDA CORONEL FRANCISCO LODOF GOMES - 56;PR;M.PR.FRA;Foz República Argentina;;;
FRF;RUA CANÁRIOS X AVENIDA OLIMPIO RAFAGNIN - FOZ DO IGUAÇU;PR;M.PR.FRF;Rafain;;;
FSU;AV DAS CATARATAS - 3570;PR;M.PR.FSU;FOZ DO IGUAÇU - SHOPPING FUSÃO;;;
FFR;RUA VALENTIN AGOSTINI - 314;PR;M.PR.FFR;FOZ DO IGUAÇU - ALTO SÃO FRANCISCO;;;
FPM;RUA PEDRO CARNEIRO PEREIRA -  S/N;PR;M.PR.FPM;FOZ DO IGUAÇU - PARQUE MORUMBI;;;
FJL;RUA PAULO FARIAS -  N°248;PR;M.PR.FJL;FOZ DO IGUAÇU - JARDIM LANCASTER;;;
FJJ;RUA VICENTE DE CARVALHO - 743;PR;M.PR.FJJ;FOZ DO IGUAÇU - JARDIM JUPIRA;;;
FJF;RUA JASMINS 211 JARDIM DA FLORES - CENTRO - FOZ DO IGUAÇU;PR;M.PR.FJF;FOZ DO IGUAÇU - JARDIM DAS FLORES;;;
FPU;AVENIDA DAS CATARATAS - 12545;PR;M.PR.FPU;FOZ DO IGUAÇU - PARQUE NACIONAL DO IGUAÇU;;;
FJT;AVENIDA PRESIDENTE TANCREDO NEVES - 2001;PR;M.PR.FJT;FOZ DO IGUAÇU - JARDIM PETROPOLIS;NÃO;;
FPS;RUA MARECHAL DEODORO DA FONSECA - CENTRO - FOZ DO IGUAÇU;PR;M.PR.FPS;FOZ DO IGUAÇU - EDIFÍCIO PORTO SEGURO;;;
FDN;RUA ENG. AUGUSTO ARAÚJO - 5347;PR;M.PR.FDN;FOZ DO IGUAÇU - CIDADE NOVA;;;
FMT;RUA JOSE TELES DA CONCEIÇÃO -  1434 MORUMBI I;PR;M.PR.FMT;FOZ DO IGUAÇU - MUTIRÃO;;;
FOR;AV. GARIBALDI - QUADRANTE 06 -  QUADRICULA 5;PR;M.PR.FOR;FOZ DO IGUAÇU - JARDIM NORMA;106;458;NÃO
F3F;R ELEODORO RODRIGUES SEIXAS (PROFILURB) -  S/N;PR;M.PR.F3F;FOZ DO IGUAÇU - MARCO DAS 3 FRONTEIRAS;;;
GNU;RUA RIO GRANDE DO SUL - 126;PR;M.PR.GNU;Guaraniaçu;;;
GPI;POSTO IPIRANGA (COL. SAO J. SUL) R0TPAR - BR277 -  KM 506 ;PR;M.PR.GPI;GUARANIAÇU OI;;;
IBF;RUA ROLÃNDIA - IBEMA;PR;M.PR.IBF;Ibema;;;
IRT;POSTO IBEMA - COLONIA MURILO (ROTPAR) - BR277 -  KM 539 + 730M;PR;M.PR.IRT;Ibema Rep;;;
IIL;ESTRADA PARA JACUTINGA -  SN LOTE 316 GLEBA 14;PR;M.PR.IIL;Itaipulândia;;;
MCA;RUA RIO DE JANEIRO - 1740;PR;M.PR.MCA;Marechal Rondon A;;;
MCB;AVENIDA MARIPÁ -  S/N;PR;M.PR.MCB;Marechal Rondon B;;;
MTD;RUA PEDRO ÁLVARES CABRAL -  LOTE 5 QUADRA 82;PR;M.PR.MTD;Matelândia;;;
LAR;RODOVIA BR 277 -  KM 667;PR;M.PR.LAR;MEDIANEIRA COOPERATIVA LAR ;NÃO;;
MDN;RUA RIO BRANCO -  DATA 10 QUADRA 118 X AVENIDA BRASIL;PR;M.PR.MDN;Medianeira;;;
MD2;RUA SANTA RITA -  S/N;PR;M.PR.MD2;MEDIANEIRA - INDEPENDÊNCIA;;;
MLW;RUA DOM PEDRO PRIMEIRO -  S/N;PR;M.PR.MLW;Missal;;;
NAA;RUA GENERAL OSÓRIO - 2993;PR;M.PR.NAA;Nova Aurora;;;
SHA;RUA GOIÁS -  S/N;PR;M.PR.SHA;Santa Helena;;;
ZSN;Aceso Linha dos Sete Pecados - Nº S/N (LOTE 139) - SANTA HELENA;PR;M.PR.ZSN;SANTA HELENA REP TX;;;
STR;Estrada p/ Colônia Cielito - SANTA TEREZA DO OESTE;PR;M.PR.STR;Sta Tereza do Oeste Rep;;;
SQO;RUA GUARANI X COM RUA RUI BARBOSA - SANTA TEREZA DO OESTE;PR;M.PR.SQO;Santa Tereza do Oeste;;;
SHW;RUA IPE X MARGINAL DA BR 277 - SANTA TEREZINHA DO ITAIPU;PR;M.PR.SHW;Santa Terezinha do Itaipu Cidade;;;
ZSH;BR 277 - Município de Santa Terezinha do Iguaçu (RUA 10 DO LOTEAMENTO PARQUE SÃO LOURENÇO) - SANTA TEREZINHA DO ITAIPU;PR;M.PR.ZSH;Santa Terezinha do Itaipu REP;;;
SLI;RUA DOM JOSÉ C. BARROS -  S/N;PR;M.PR.SLI;São Miguel do Iguaçu;;;
MIC;BR 277 KM 687 - SÃO MIGUEL DO IGUAÇU;PR;M.PR.MIC;Serra do Mico;;;
SIG;RUA PARANÁ -  S/N;PR;M.PR.SIG;Serranópolis do Iguaçu;;;
TER;RUA ENGENHEIRO REBOUÇAS - 16;PR;M.PR.TER;Toledo Eng. Rebouças;;;
TCP;R AMÉRICO SCHIO ¿ N° 1143 - TOLEDO;PR;M.PR.TCP;TOLEDO JARDIM COPAGRO;;;
TCR;Estrada da Usina - Nº S/N - TOLEDO;PR;M.PR.TCR;Toledo Chocolates Roma;;;
TPA;AV JOSÉ MURARO - N 1980 - TOLEDO;PR;M.PR.TPA;TOLEDO - JARDIM PORTO ALEGRE;;;
TSR;RUA SARANDI - 1250;PR;M.PR.TSR;Toledo Sarandi;;;
ZMC;Rodovia Rural - Nº S/N ( Sentido 13 de Maio )  - TOLEDO;PR;M.PR.ZMC;MARECHAL CÂNDIDO RONDON REP TX;;;
TGA;RUA GENERAL ALCIDES ETCHEGOYEN -  LOTE 20 QUADRA L 20;PR;M.PR.TGA;Toledo General Alcides;;;
TGS;RUA SÃO JOÃO -  S/N;PR;M.PR.TGS;TOLEDO - JARDIM GISELA;;;
TJP;RUA SENADOR ACCIOLY FILHO - 1861;PR;M.PR.TJP;TOLEDO - JARDIM PANORAMA;;;
TJC;RUA VINICIUS DE MORAES - 629;PR;M.PR.TJC;TOLEDO - JARDIM PANCERA;;;
TJE;RUA QUINTINO DE BOCAIÚVA -  S/Nº - TOLEDO;PR;M.PR.TJE;TOLEDO - JARDIM EUROPA;;;
TLC;LOTE URBANO - QD 09 -  222 CENTRO;PR;M.PR.TLC;TOLEDO - CENTRO;;;
TTC;RUA CERRO COROA -  430 - JARDIM SANTA MARIA;PR;M.PR.TTC;TOLEDO - TOCATINS;;;
TBV;RUA GUAÍRA -  S/N. (LOTE 10 QUADRA H) - BOA VISTA;PR;M.PR.TBV;TOLEDO - BOA VISTA;;;
TBP;RUA SÃO PAULO -  EM FRENTE AO 535;PR;M.PR.TBP;Três Barras do Paraná;;;
AEE;COLONIA MISSÕES -  LOTE 1A QUADRA 112;PR;M.PR.AEE;Ampere;;;
CNM;R SANTA CATARINA - N° S/N - CAPANEMA;PR;M.PR.CNM;Jardim Maria Luiza;;;
CHZ;RUA SANTOS DUMONT - 533;PR;M.PR.CHZ;Chopinzinho;;;
CLA;RUA LIBERDADE -  S/N;PR;M.PR.CLA;Clevelândia;;;
CVV;RUA ERNANI O. HILDEBRANDO -  CHÁCARA 62 LOTE 41;PR;M.PR.CVV;Coronel Vivida;;;
DV2;Av. Dorvalino Tosi - 1129;PR;M.PR.DV2;Dois Vizinhos 2;;;
DVZ;RUA 17 -  LOTE URBANO 7 QUADRA 107;PR;M.PR.DVZ;Dois Vizinhos;;;
ZMO;Eneas Marques(Chacaras)-SITE COPEL (ÁREA RURAL MORRO DA BELA VISTA) - ENÉAS MARQUES;PR;M.PR.ZMO;Morro da Bela Vista;;;
FBA;RUA SANTO ONOFRE - 345;PR;M.PR.FBA;Francisco Beltrão Cango A;;;
FBB;RUA GRAMADO - 207;PR;M.PR.FBB;Francisco Beltrão Pinheirinho B;;;
FBD;RODOV. PR 566 - N° S/N - FRANCISCO BELTRÃO;PR;M.PR.FBD;FRANCISCO BELTRÃO FRANCISCO BELTRÃO D;;;
FBC;RUA CURITIBA - 2067;PR;M.PR.FBC;Francisco Beltrão Centro C;;;
ZFB;BR 277 - KM 653 (PR 483 -  KM 11);PR;M.PR.ZFB;Francisco Beltrão REP;;;
FBG;TRAVESSA NOVO MUNDO -  AO LADO DO N° 98;PR;M.PR.FBG;FRANCISCO BELTRÃO - AEROPORTO;;;
FBF;RUA TIMBÓ -  LOTE 14;PR;M.PR.FBF;FRANCISCO BELTRÃO - PINHEIRINHO;;;
IJR;RUA HERTI LE GUZZO -  S/N.;PR;M.PR.IJR;Itapejara do Oeste;;;
MRH;AVENIDA IGUAÇU - 777;PR;M.PR.MRH;Mangueirinha;;;
MAP;ALAMEDA SETE -  S/N;PR;M.PR.MAP;Mariópolis;;;
MLE;RUA JOSÉ VALENTIN JUNGES -  S/N;PR;M.PR.MLE;Marmeleiro;;;
NPI;RUA PRESIDENTE VARGAS -  S/N;PR;M.PR.NPI;Nova Prata do Iguaçu;;;
NMB;RUA HERCULANO MEURER - LAGO USINA SALTO CAXIAS - NOVA PRATA DO IGUAÇU;PR;M.PR.NMB;NOVA PRATA DO IGUAÇU - MARINAS DE BOA VISTA;;;
PAL;RUA ALCINA SANTOS ARAÚJO -  AO LADO DO 121;PR;M.PR.PAL;Palmas;;;
PAS;RUA ANTONIO DE OLIVEIRA FRANCO -  S/N;PR;M.PR.PAS;Palmas 2;;;
PCS;AVENIDA TIRADENTES -  S/N;PR;M.PR.PCS;PALMAS - CASCATINHA;;;
PBA;RUA VENEZUELA - 247;PR;M.PR.PBA;Pato Branco Jardim América A;;;
PBB;RUA ALAGOAS - 50;PR;M.PR.PBB;Pato Branco Alagoas B;X;;
PBC;RUA AIMORE - 1900;PR;M.PR.PBC;Pato Branco Centro C;;;
PUT;RODOV. PR493 -  KM 2;PR;M.PR.PUT;PATO BRANCO UTFPR;;;
ZPB;Rua Carlos Tumeleiro -  20 - ;PR;M.PR.ZPB;Pato Branco REP;;;
POC;TRAVESSA GOIAS - 90;PR;M.PR.POC;PATO BRANCO - CENTRO 2;;;
PLA;RUA ARQUIMEDES GOBATTO - Nº 330 - PATO BRANCO;PR;M.PR.PLA;PATO BRANCO - BELA VISTA;;;
PBF;RUA. DOM PEDRO I -  QDA 966;PR;M.PR.PBF;PATO BRANCO - ALVORADA;NÃO;;
PBS;RUA DUQUE DE CAXIAS - 260;PR;M.PR.PBS;PATO BRANCO - SANTO ANTÔNIO;;;
PSF;BR 158 KM 517 -  N° 3851;PR;M.PR.PSF;PATO BRANCO - SÃO FRANCISCO;;;
PNT;RODOVIA PLANALTO CAPANEMA -  KM 54;PR;M.PR.PNT;Planalto e Capanema;;;
PNC;RUA ALBERTO SANTOS DUMONT S/N - PLANALTO;PR;M.PR.PNC;PLANALTO - CENTRO;;;
QIG;RUA JACARANDÁ X RUA KIRI - QUEDAS DO IGUAÇU;PR;M.PR.QIG;Quedas do Iguaçu;;;
SZE;CENTRO DE MÚTIPLO USO PREFEITURA MUNICIPAL DE REALEZA - REALEZA;PR;M.PR.SZE;Realeza / Sta. Izabel do Oeste;;;
RNC;RUA RODRIGUES ALVES - 84;PR;M.PR.RNC;RENASCENÇA - CENTRO;;;
STL;AVENIDA PRESIDENTE GETÚLIO VARGAS - 510;PR;M.PR.STL;Salto do Lontra;;;
SIW;AVENIDA DAS PEROBAS -  S/N;PR;M.PR.SIW;SANTA IZABEL DO OESTE - CENTRO;;;
SSU;MORRO DO SANTO ANTÔNIO - SANTO ANTÔNIO DO SUDOESTE;PR;M.PR.SSU;Santo Antonio do Sudoeste - Cidade;;;
ZSU;LINHA CERRO NEGRO -  S/N;PR;M.PR.ZSU;Santo Antonio do Sudoeste - REP TX;;;
SJX;AVENIDA SÃO JOÃO X RUA SÃO MIGUEL - SÃO JOÃO;PR;M.PR.SJX;São João  ;;;
VGC;PR 280 -  KM 144;PR;M.PR.VGC;Vitorino Grupo Cantu;;;
VTO;AVENIDA BRASIL ARGENTINA -  S/N;PR;M.PR.VTO;Vitorino;;;
PRATT_O1A01;R.JOÃO ANTUNES DE LARA -  140 - VILA PROSDOSCIMO ;PR;V2.PR.ATT.O1A01;PRATT_O1A01;;;
PRATT_O1A02;R. PARANAGUÁ -  61. - CACHOEIRA;PR;V2.PR.ATT.O1A02;PRATT_O1A02;;;
